noaa id,name,lat,lon,thrsh
1611400,"Nawiliwili, HI",21.95,-159.36,0.52
1612340,"Honolulu, HI",21.31,-157.87,0.52
1612480,"Mokuoloe, HI",21.43,-157.79,0.53
1615680,"Kahului, HI",20.9,-156.48,0.53
1617433,"Kawaihae, HI",20.04,-155.83,0.53
1617760,"Hilo, HI",19.73,-155.06,0.53
1619910,Midway Island,28.21,-177.36,0.52
1630000,"Apra Harbor, Guam",13.44,144.65,0.53
1770000,"Pago Pago, American Samoa ",-14.28,-170.69,0.53
1820000,Kwajalein Island,8.73,167.74,0.55
1890000,Wake Island,19.29,166.62,0.53
8413320,"Bar Harbor, ME",44.39,-68.21,0.64
8418150,"Portland, ME",43.66,-70.25,0.62
8443970,"Boston, MA",42.35,-71.05,0.63
8447930,"Woods Hole, MA",41.52,-70.67,0.53
8449130,"Nantucket Island, MA",41.29,-70.1,0.54
8452660,"Newport, RI",41.51,-71.33,0.55
8454000,"Providence, RI",41.81,-71.4,0.56
8461490,"New London, CT",41.36,-72.09,0.54
8467150,"Bridgeport, CT",41.17,-73.18,0.59
8510560,"Montauk, NY",41.05,-71.96,0.53
8516945,"Kings Point, NY",40.81,-73.76,0.6
8518750,"The Battery, NY",40.7,-74.01,0.56
8519483,"Bergen Point, NY",40.64,-74.14,0.57
8531680,"Sandy Hook, NJ",40.47,-74.01,0.56
8534720,"Atlantic City, NJ",39.36,-74.42,0.56
8536110,"Cape May, NJ",38.97,-74.96,0.57
8545240,"Philadelphia, PA",39.93,-75.14,0.58
8551910,"Reedy Point, DE",39.56,-75.57,0.57
8557380,"Lewes, DE",38.78,-75.12,0.56
8571892,"Cambridge, MD",38.57,-76.07,0.52
8573364,"Tolchester Beach, MD",39.21,-76.25,0.52
8574680,"Baltimore, MD",39.27,-76.58,0.52
8575512,"Annapolis, MD",38.98,-76.48,0.52
8577330,"Solomons Island, MD",38.32,-76.45,0.52
8594900,"Washington, DC",38.87,-77.02,0.54
8631044,"Wachapreague, VA",37.61,-75.69,0.56
8632200,"Kiptopeke, VA",37.17,-75.99,0.54
8635750,"Lewisetta, VA",38,-76.46,0.52
8636580,"Windmill Point, VA",37.62,-76.29,0.52
8638610,"Sewells Point, VA",36.95,-76.33,0.53
8638863,"Chesapeake Bay Bridge, VA",36.97,-76.11,0.54
8651370,"Duck, NC",36.18,-75.75,0.54
8652587,"Oregon Inlet, NC ",35.8,-75.55,0.51
8656483,"Beaufort, NC",34.72,-76.67,0.54
8658120,"Wilmington, NC",34.23,-77.95,0.56
8661070,"Springmaid Pier, SC",33.66,-78.92,0.57
8665530,"Charleston, SC",32.78,-79.93,0.57
8670870,"Fort Pulaski, GA",32.03,-80.9,0.59
8720030,"Fernandina Beach, FL",30.67,-81.47,0.58
8720218,"Mayport, FL",30.4,-81.43,0.56
8721604,"Trident Pier, FL",28.42,-80.59,0.55
8723214,"Virginia Key, FL",25.73,-80.16,0.53
8723970,"Vaca Key, FL",24.71,-81.11,0.51
8724580,"Key West, FL",24.56,-81.81,0.52
8725110,"Naples, FL",26.13,-81.81,0.53
8725520,"Fort Myers, FL",26.65,-81.87,0.52
8726520,"St. Petersburg, FL",27.76,-82.63,0.53
8726724,"Clearwater, FL",27.98,-82.83,0.53
8727520,"Cedar Key, FL",29.14,-83.03,0.55
8728690,"Apalachicola, FL",29.73,-84.98,0.52
8729108,"Panama City, FL",30.15,-85.67,0.52
8729210,"Panama City Beach, FL",30.21,-85.88,0.52
8729840,"Pensacola, FL",30.4,-87.21,0.52
8735180,"Dauphin Island, AL",30.25,-88.08,0.51
8747437,"Bay Waveland, MS",30.33,-89.33,0.52
8761724,"Grand Isle, LA",29.26,-89.96,0.51
8770570,"Sabine Pass, TX",29.73,-93.87,0.52
8770613,"Morgans Point, TX",29.68,-94.99,0.52
8771013,"Eagle Point, TX",29.48,-94.92,0.51
8771450,"Galveston Pier 21, TX",29.31,-94.79,0.52
8774770,"Rockport, TX",28.02,-97.05,0.5
8775870,"Corpus Christi, TX",27.58,-97.22,0.52
8779770,"Port Isabel, TX",26.06,-97.22,0.52
9410170,"San Diego, CA",32.71,-117.17,0.57
9410230,"La Jolla, CA",32.87,-117.26,0.56
9410660,"Los Angeles, CA",33.72,-118.27,0.57
9410840,"Santa Monica, CA",34.01,-118.5,0.57
9412110,"Port San Luis, CA",35.18,-120.76,0.56
9413450,"Monterey, CA",36.61,-121.89,0.57
9414290,"San Francisco, CA",37.81,-122.47,0.57
9414750,"Alameda, CA",37.77,-122.3,0.58
9415020,"Point Reyes, CA",38,-122.98,0.57
9415144,"Port Chicago, CA",38.06,-122.04,0.56
9416841,"Arena Cove, CA",38.91,-123.71,0.57
9418767,"Humboldt Bay, CA",40.77,-124.22,0.58
9431647,"Port Orford, CA",42.74,-124.5,0.59
9432780,"Charleston, OR",43.35,-124.32,0.59
9435380,"South Beach, OR",44.63,-124.04,0.6
9440910,"Toke Point,WA",46.71,-123.97,0.61
9444090,"Port Angeles, WA",48.13,-123.44,0.59
9444900,"Port Townsend, WA",48.11,-122.76,0.6
9447130,"Seattle, WA",47.6,-122.34,0.64
9449424,"Cherry Point, WA",48.86,-122.76,0.61
9449880,"Friday Harbor, WA",48.55,-123.01,0.59
9751401,"Lime Tree Bay, VI",17.69,-64.75,0.51
9751639,"Charlotte Amalie, VI",18.34,-64.92,0.51
9755371,"San Juan, PR",18.46,-66.12,0.52
9759110,"Magueyes Island, PR",17.97,-67.05,0.51
